mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682646045892845,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_consRec,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_CCD,0.9670798320428319,1.1892,0.014636999999999999,0,0
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.014636999999999999,0,0
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.007543,0,0.008
5,0.028,0.026,LV_consRec,0.9682005686126041,1.1892,0.007543,0,0.008
5,0.028,0.026,LV_CCD,0.9682005686126041,1.1892,0.016382,0,0.008
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9570237474939489,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9574368213104869,1.1622,0,0,0
5,0.028,0.025,LD_consRec,0.9617820881760949,1.1892,0,0,0
5,0.028,0.025,LD_CCD,0.9617820881760949,1.1892,0.017572,0,0.027
5,0.028,0.025,LD_consRec,0.9564341751849238,1.1622,0.017572,0,0.027
5,0.028,0.025,LD_CCD,0.9564341751849238,1.1622,0.019745,0,0.019
5,0.028,0.025,LD_consRec,0.9536728124293332,1.1622,0.019745,0,0.019
5,0.028,0.025,LD_CCD,0.9536728124293332,1.1622,0.030627,0,0.155
5,0.028,0.055,LP_ST,0.8981244223995343,1.8649,0,0,0
5,0.028,0.052,LP_ST,0.8955631445436042,1.8649,0,0,0
5,0.028,0.058,LP_ST,0.8893948341799475,2,0,0,0
5,0.028,0.066,LP_consRec,0.8830320345790501,1.973,0,0,0
5,0.028,0.071,LP_CCD,0.8737795812196291,2.1081,0.080631,0,0.23840000000000008
5,0.028,0.049,LP_consRec,0.9032094826573993,1.8919,0.080631,0,0.23840000000000008
5,0.028,0.053,LP_CCD,0.8971746105327368,1.973,0.0593637,0,0.2
5,0.028,0.055,LP_consRec,0.8919471067525783,1.9189,0.0593637,0,0.2
5,0.028,0.065,LP_CCD,0.8844482988024642,2,0.07084700000000001,0,0.212
5,0.028,0.045,IM_ST,0.9077120944853285,1.9189,0,0,0
5,0.028,0.045,IM_ST,0.9077120944853285,1.9189,0,0,0
5,0.028,0.045,IM_ST,0.9077120944853285,1.9189,0,0,0
5,0.028,0.045,IM_consRec,0.9077120944853285,1.9189,0,0,0
5,0.028,0.045,IM_CCD,0.9077120944853285,1.9189,0.005,0,0
5,0.028,0.045,IM_consRec,0.9077120944853285,1.9189,0.005,0,0
5,0.028,0.045,IM_CCD,0.9077120944853285,1.9189,0.005,0,0
5,0.028,0.045,IM_consRec,0.9077120944853285,1.9189,0.005,0,0
5,0.028,0.045,IM_CCD,0.9077120944853285,1.9189,0.005,0,0
5,0.028,0.033,WT_ST,0.9353079425601434,1.5405,0,0,0
5,0.028,0.042,WT_ST,0.9083472260175347,1.8378,0,0,0
5,0.028,0.032,WT_ST,0.9325947683757654,1.4595,0,0,0
5,0.028,0.033,WT_consRec,0.9329424950654627,1.5405,0,0,0
5,0.028,0.033,WT_CCD,0.9329424950654627,1.5405,0.04359,0,0.145
5,0.028,0.033,WT_consRec,0.9338906202593094,1.5135,0.04359,0,0.145
5,0.028,0.033,WT_CCD,0.9338906202593094,1.5135,0.012247,0,0.018
5,0.028,0.034,WT_consRec,0.9320502818338977,1.5676,0.012247,0,0.018
5,0.028,0.034,WT_CCD,0.9320502818338977,1.5676,0.065221,0,0.25
10,0.081,0.069,LV_ST,0.8871815928128328,1,0,0,0
10,0.081,0.069,LV_ST,0.888055110138211,1,0,0,0
10,0.081,0.071,LV_ST,0.9011145282474176,1.027,0,0,0
10,0.081,0.07,LV_consRec,0.9065578934712486,1.0541,0,0,0
10,0.081,0.071,LV_CCD,0.9269739985710663,1.1081,0.028609,0,0.095
10,0.081,0.07,LV_consRec,0.9061247480005501,1.0541,0.028609,0,0.095
10,0.081,0.07,LV_CCD,0.9061247480005501,1.0541,0.038624,0,0.16370000000000018
10,0.081,0.07,LV_consRec,0.9077452942638453,1.0541,0.038624,0,0.16370000000000018
10,0.081,0.071,LV_CCD,0.9176000560341088,1.0811,0.028226,0,0.153
10,0.081,0.065,LD_ST,0.8659930154493655,0.973,0,0,0
10,0.081,0.064,LD_ST,0.8433764658370543,0.9189,0,0,0
10,0.081,0.064,LD_ST,0.8500240173578216,0.9189,0,0,0
10,0.081,0.064,LD_consRec,0.8515269323896646,0.9189,0,0,0
10,0.081,0.065,LD_CCD,0.8630061885803296,0.9459,0.044248,0,0.17
10,0.081,0.064,LD_consRec,0.8583770221223227,0.9459,0.044248,0,0.17
10,0.081,0.065,LD_CCD,0.8713734833104146,1,0.018732,0,0.027
10,0.081,0.064,LD_consRec,0.8580321062169203,0.9459,0.018732,0,0.027
10,0.081,0.065,LD_CCD,0.8627404246658545,1,0.013251,0,0.021
10,0.081,0.108,LP_ST,0.8699323039823678,1.8108,0,0,0
10,0.081,0.097,LP_ST,0.8847756802974022,1.7297,0,0,0
10,0.081,0.11,LP_ST,0.8616070569944341,1.8919,0,0,0
10,0.081,0.095,LP_consRec,0.885620670870755,1.7297,0,0,0
10,0.081,0.114,LP_CCD,0.8637266533267925,1.8919,0.06726,0,0.216
10,0.081,0.091,LP_consRec,0.8856434418050048,1.7297,0.06726,0,0.216
10,0.081,0.111,LP_CCD,0.8668837179016947,1.973,0.073051,0,0.233
10,0.081,0.101,LP_consRec,0.8802426431326853,1.8108,0.073051,0,0.233
10,0.081,0.124,LP_CCD,0.8565360987522859,2.027,0.079091,0,0.227
10,0.081,0.09,IM_ST,0.8960904286958298,1.9189,0,0,0
10,0.081,0.09,IM_ST,0.8960904286958298,1.9189,0,0,0
10,0.081,0.09,IM_ST,0.8960904286958298,1.9189,0,0,0
10,0.081,0.09,IM_consRec,0.8960904286958298,1.9189,0,0,0
10,0.081,0.09,IM_CCD,0.8960904286958298,1.9189,0.002,0,0
10,0.081,0.09,IM_consRec,0.8960904286958298,1.9189,0.002,0,0
10,0.081,0.09,IM_CCD,0.8960904286958298,1.9189,0.002,0,0
10,0.081,0.09,IM_consRec,0.8960904286958298,1.9189,0.002,0,0
10,0.081,0.09,IM_CCD,0.8960904286958298,1.9189,0.002,0,0
10,0.081,0.093,WT_ST,0.8795737571491435,2.0811,0,0,0
10,0.081,0.083,WT_ST,0.9011275857956031,1.6757,0,0,0
10,0.081,0.08,WT_ST,0.9092405066440613,1.5405,0,0,0
10,0.081,0.091,WT_consRec,0.8894904493111468,2,0,0,0
10,0.081,0.094,WT_CCD,0.8866124767711672,2.0811,0.0494757,0,0.19100000000000023
10,0.081,0.083,WT_consRec,0.907261870355612,1.6216,0.0494757,0,0.19100000000000023
10,0.081,0.084,WT_CCD,0.9061919543442878,1.6216,0.026043,0,0.043
10,0.081,0.083,WT_consRec,0.9011275857956031,1.6757,0.026043,0,0.043
10,0.081,0.083,WT_CCD,0.9011275857956031,1.6757,0.009366000000000001,0,0.014
