"","method","mu","mod","nc","nmi","nc_norm"
"1","WT_high_cons",0.0275,0.9049,81,0.899,2.18918918918919
"2","WT_high_cons",0.0776,0.8752,76,0.885,2.05405405405405
"3","WT_high_cons",0.1293,0.8106,102,0.827,2.75675675675676
"4","WT_high_cons",0.1997,0.7513,96,0.793,2.59459459459459
"5","WT_high_cons",0.244,0.7063,88,0.767,2.37837837837838
"6","WT_high_cons",0.3221,0.6292,116,0.65,3.13513513513514
"7","WT_high_cons",0.3646,0.5808,139,0.608,3.75675675675676
"8","WT_high_cons",0.4182,0.5274,153,0.563,4.13513513513514
"9","WT_high_cons",0.4495,0.5133,156,0.551,4.21621621621622
"10","WT_high_cons",0.6014,0.4473,145,0.411,3.91891891891892
"11","WT_high_cons",0.6699,0.3954,188,0.402,5.08108108108108
"12","WT_high_cons",0.7129,0.3919,231,0.413,6.24324324324324
